Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NEK9,20.48411813,19.24967429,20.26315569,21.91634726,19.76949497
NELFA,13.24859914,14.27874793,12.99907389,12.05778767,16.64847883
NELFB,68.50387194,72.49320988,70.95293557,69.32277165,70.24236481
NELFCD,30.87202385,28.65308846,24.63542765,22.30650815,30.79603914
NELFE,50.08053783,53.05305929,50.8911864,48.64328476,55.46282666
NELL1,0.83238725,0.366277156,0.527292511,0.282964558,4.91734102
NELL2,6.166465498,3.265011251,9.099390433,10.6413601,6.443075282
NEMF,19.50960546,15.65533907,17.51680053,18.15008342,19.68308524
NEMP1,12.33529732,10.23103756,10.02298642,8.873300603,13.98039084
NEMP2,3.131949537,3.302399087,3.224094956,3.241658186,7.300498604
NENF,111.2838176,114.4877608,121.4065746,116.4317449,139.6605368
NEO1,30.55717109,32.97969671,24.99106906,24.64386349,19.70174675
NEPRO,22.09767113,19.9851223,19.29872486,18.7105895,21.46297026
NES,22.03594418,19.92355451,29.40745243,37.95380344,24.01553152
NET1,96.90924006,77.79185553,89.14979207,103.4257483,62.25745146
NETO1,0.137878179,0.306633348,0.060734469,0.049443001,4.857366089
NETO2,3.237540191,1.525442471,1.949825586,2.083619057,6.907332911
NEU1,16.38803967,17.05455746,14.90010409,15.23050716,15.09714839
NEU2,8.344110535,5.194238937,2.944087386,2.106487022,7.30758474
NEU3,4.478127845,4.07201302,3.654378497,3.494952965,7.594608261
NEU4,0.189381606,0.062980601,0.052862244,0.066008627,4.867477041
NEURL1,1.707988431,0.997407782,1.305603755,1.354359053,6.206899137
NEURL1B,30.3351701,34.06774503,38.84490625,44.83931218,28.85939274
NEURL2,4.849511053,4.914437652,5.587688374,5.639395825,10.34612106
NEURL3,0.665467891,0.846087721,0.504648579,0.575617947,4.849515258
NEURL4,10.30537773,9.731434649,9.545181753,8.58046572,15.55236743
NEUROD2,0.128374736,0.31558824,0.111701246,0.012688695,4.831116316
NEUROG2,0.021449823,0.00674995,0.027626362,0.022017682,4.819931749
NEXN,4.892101412,3.789491228,9.434637533,9.508382034,22.04447128
NF1,7.150273429,6.456343186,6.965076123,7.713562978,8.688362462
NF2,10.29548866,9.459559819,9.534936914,9.994133272,12.52418333
NFAM1,5.542925074,4.303294813,3.336272129,2.57513197,6.999766787
NFASC,2.838511481,3.691366711,3.037020089,3.171799952,7.660330625
NFAT5,11.80352431,13.29988484,12.5298354,14.09131134,10.34119007
NFATC1,7.970855791,7.077703072,7.176823728,7.559996941,9.481131773
NFATC2,10.77812129,9.26437298,10.42962716,9.216851142,14.37603117
NFATC2IP,20.64763972,18.99606905,17.8857552,16.4427986,23.4487289
NFATC3,13.56023501,14.06030051,12.17923752,11.85205441,14.39246097
