Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
ADCY9,8.159708132,8.600409731,9.578476128,11.65126677,11.62974787
ADCYAP1,2.060343067,1.809820504,1.375813688,1.389984995,0.582179235
ADCYAP1R1,3.862287923,4.13589816,4.191913114,7.130862901,3.390571887
ADD1,39.59302561,46.7436726,44.78436848,46.98418275,40.58274576
ADD2,0.393738775,0.576266755,0.623627043,0.287409082,0.27873119
ADD3,60.49358826,57.37864201,60.32787803,59.94693072,75.40936791
ADGRA2,59.19015888,68.58466406,81.13762313,89.63054636,76.63791875
ADGRA3,13.04059869,7.024691553,8.567538355,7.380894428,9.394541912
ADGRB1,7.45586696,2.961543188,3.098609313,2.458957062,3.89667812
ADGRB2,1.889903585,1.429465316,1.324626897,1.487889279,1.022307008
ADGRB3,1.184987639,0.849498107,1.343881063,1.651137901,2.4551841
ADGRD1,1.571745201,1.825952496,2.410992753,3.462858794,4.112026599
ADGRD2,0.098606695,0.347070216,0.45448111,0.093770047,0.197861953
ADGRE1,0.148672975,0.120756037,0.07794673,0.080620964,0.183483863
ADGRE2,1.953421407,2.969440752,3.160786474,2.276357746,3.006678981
ADGRE3,0.203525407,0.083809421,0.099565861,0.123132308,0.119942661
ADGRE4P,3.539868832,3.056389686,3.173972683,0.776498039,1.83068739
ADGRE5,17.32752447,17.86499139,20.67332609,21.10692336,24.79619488
ADGRF1,0.103367874,0.024594207,0.009287197,0.012658753,0.164934904
ADGRF2,1.487830777,2.68734103,2.718100658,1.160457078,1.359572733
ADGRF3,1.324423468,0.985237116,1.156604364,0.758950703,1.558515283
ADGRF4,37.12277641,53.69588079,51.44545151,19.74040105,35.44030693
ADGRF5,17.3726693,21.39315823,26.73572249,35.98698578,27.03606378
ADGRF5P1,0.733557207,0.459323192,0.647186215,0.530121395,1.054321738
ADGRG1,54.5090617,42.77003974,43.10204059,32.09620543,47.88711138
ADGRG2,1.415762188,0.610081493,0.809346556,1.010684823,0.821732444
ADGRG3,0.502432918,0.226064857,0.283736037,0.314718714,0.377024768
ADGRG5,0.485433351,0.410529169,0.345708101,0.35446591,0.278935094
ADGRG6,12.6331253,13.33331447,12.62403309,7.543133242,13.70182316
ADGRL1,12.46482905,11.91706708,14.06478569,18.01174051,15.82485516
ADGRL2,32.81503515,21.69869279,24.79601324,29.16650345,29.19157571
ADGRL3,11.98396637,3.779297071,3.747665618,6.777709116,8.017709388
ADGRL4,25.87326604,32.08000428,34.66715017,42.48251566,34.39785052
ADGRV1,0.535882488,0.416188604,0.52633031,0.511881206,0.439272669
ADH1A,0.81392183,0.647400613,0.762487723,1.281866303,0.382919105
ADH1B,69.3413081,49.82273366,56.44520946,109.3016932,14.92088317
ADH1C,0.949436314,2.90357272,2.094188249,5.124929913,3.473966223
ADH4,1.141195619,0.751139309,2.015068261,2.572853195,2.459747132
ADH5,49.9169377,49.77664193,60.09981448,67.18961369,49.99871871
ADH5P4,1.243483354,0.665196889,0.871012853,1.259757093,0.73059814
ADH6,0.296971657,0.594657577,0.944422905,0.692751262,5.405937068
ADH7,5.862344223,1.083970599,1.575793512,11.12640835,10.33530126
